subset,model,seed,window_size,max_rul,trigger_column,lead_time,maintenance_rate,early_maintenance_rate,late_maintenance_rate,missed_critical_rate,expected_cost,oracle_expected_cost,decision_regret,policy
FD002,ridge,43,30,130,y_pred,50.0,0.25868725868725867,0.003861003861003861,0.08494208494208494,0.007722007722007722,1.2627799227799228,0.33976833976833976,0.923011583011583,mean
FD002,ridge,44,30,130,y_pred,10.0,0.07722007722007722,0.03474903474903475,0.04247104247104247,0.1583011583011583,3.6716602316602316,0.08494208494208494,3.586718146718147,mean
FD002,ridge,44,30,130,y_pred,20.0,0.12355212355212356,0.007722007722007722,0.0888030888030888,0.11196911196911197,3.251660231660232,0.20463320463320464,3.047027027027027,mean
FD002,ridge,44,30,130,y_pred,30.0,0.17374517374517376,0.007722007722007722,0.0694980694980695,0.0694980694980695,2.259227799227799,0.23552123552123552,2.0237065637065634,mean
FD002,ridge,44,30,130,y_pred,50.0,0.25868725868725867,0.003861003861003861,0.08494208494208494,0.007722007722007722,1.2627799227799228,0.33976833976833976,0.923011583011583,mean
FD002,tcn,42,30,130,y_pred,10.0,0.03861003861003861,0.003861003861003861,0.05019305019305019,0.1969111969111969,4.479073359073359,0.08494208494208494,4.394131274131274,mean
FD002,tcn,42,30,130,y_pred,20.0,0.1776061776061776,0.007722007722007722,0.03474903474903475,0.05791505791505792,1.6840926640926641,0.20463320463320464,1.4794594594594594,mean
FD002,tcn,42,30,130,y_pred,30.0,0.23166023166023167,0.007722007722007722,0.011583011583011582,0.011583011583011582,0.5797683397683397,0.23552123552123552,0.34424710424710425,mean
FD002,tcn,42,30,130,y_pred,50.0,0.3474903474903475,0.04247104247104247,0.03474903474903475,0.0,0.7051737451737451,0.33976833976833976,0.3654054054054054,mean
FD002,tcn,43,30,130,y_pred,10.0,0.023166023166023165,0.003861003861003861,0.06563706563706563,0.21235521235521235,4.927335907335908,0.08494208494208494,4.842393822393823,mean
FD002,tcn,43,30,130,y_pred,20.0,0.17374517374517376,0.011583011583011582,0.04247104247104247,0.06177606177606178,1.8348262548262548,0.20463320463320464,1.6301930501930504,mean
FD002,tcn,43,30,130,y_pred,30.0,0.22007722007722008,0.003861003861003861,0.019305019305019305,0.019305019305019305,0.7993050193050192,0.23552123552123552,0.5637837837837837,mean
